w,time_exponent,bo1_0,bz1_0,bz2_0,bo1_1,bz1_1,bz2_1,bt_1,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g1,g2,b1,b2,lmd
0.04,0.1874,8.991963952569478e-06,0.003243947802847,7.721132738973053e-07,1.639193431900466e-07,0.0008293439529182,1.945447683051156e-15,2.695487870737179e-07,2.3252908083217522e-07,9.775968172812082e-06,7.566869516554775e-05,0.0001234212581167,8.713390575598444e-06,3.350318780309466e-05,4.002902520082201e-05,0.0010661840705307,0.0003031141953586,3.236095289068599e-05,1.2723544715359878e-05,2.5442672050164395e-06,1.312883344928581e-05,3.3616320306235926e-05,0.0002695668071942,0.0002354021725504,1.8246873906369417e-05,0.0004976221324494,7.920233638933515e-05,2.718411663213404e-06,0.0069639112649451,0.9930360887343032,1.0,1.0,0.0
0.06,0.2491,2.6450035924106178e-05,0.0060963252904718,2.818508108258613e-06,6.440389308875934e-07,0.0015775492077772,2.315196238669308e-12,1.0064406629170876e-06,6.882516599199059e-08,2.282711637419656e-06,2.097487110865473e-05,3.530231825360132e-05,1.941689021570334e-06,8.568099333976713e-06,1.0250246344794964e-05,0.0003248222857354,8.390453145969533e-05,1.5834012293422032e-05,5.587164735336496e-06,9.559146915123203e-07,5.789147316834572e-06,1.6413135104393297e-05,8.300833255907635e-05,7.115068503588692e-05,4.35476951054253e-06,0.0001618066834863,2.1599365256410683e-05,5.971325345203904e-07,0.0022212990024095,0.997778692593395,0.9999999970771162,0.9999999964014908,1.2608554480993591e-09
0.08,0.3018,4.9312823367412416e-05,0.0083205472019504,5.759834368555557e-06,1.0112429699041226e-06,0.0021821826446994,1.97275278146962e-11,1.6884324915309925e-06,9.903610156388719e-12,1.0105167887457507e-11,5.237562276058264e-11,2.6450298662990897e-11,5.024404734378375e-12,2.9942132658047476e-11,2.7788070266892564e-11,1.2251425177497608e-10,1.4804492467072644e-10,9.231739822934744e-11,2.184688985898172e-12,0.0,4.16347982993736e-12,9.392067342229674e-11,5.1410959523935287e-11,3.699183406236751e-11,3.6281604116393073e-11,6.435881858099946e-11,9.821348158861278e-12,3.28591873614404e-12,1.4635594953028939e-09,0.9999999910558728,0.8112393052377296,0.9999999998510908,7.436694115115633e-09
0.1,0.348,8.90584993007594e-05,0.0116975249355706,1.1171670247430795e-05,2.01258612153925e-06,0.0031109105969099,0.0,3.062106322292e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0266529709322043
0.12,0.3878,0.0001706023751645,0.0176230925003751,2.7687786096239448e-05,5.53788158983217e-06,0.0047796981216393,3.096772523090902e-09,7.974306424316236e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.628556120716294e-11,0.0,0.0,0.0,9.663728110163218e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999977877548,1.0,1.0,0.078493800814604
0.14,0.4225,0.0002277992383473,0.0200037773494533,3.512635442642614e-05,7.269465490766681e-06,0.0057830365859906,4.242408872087176e-08,9.750761245418608e-06,4.034166423889871e-10,2.014277717954185e-09,8.049752839750393e-09,1.2393049129158725e-08,1.632093054150357e-09,5.874939789448321e-09,4.9090877344794e-09,1.0066681354470438e-07,3.1417072638444644e-08,1.0947604835587488e-08,4.270092616841621e-09,4.746843208271342e-09,5.1183562753918526e-09,1.644767197341639e-08,2.9756133992874363e-08,2.136993553176073e-08,2.4632060711918683e-09,5.1258794589196194e-08,7.878031479170766e-09,7.46677647050817e-10,7.347127970184142e-07,0.999998472923304,0.9999990878340408,0.9999998178740788,0.0833530536037269
0.16,0.4544,0.0002793469761788,0.0210934488203285,3.889614891937792e-05,6.43065101032844e-06,0.0060645304946642,2.841599303404908e-09,9.05679492110702e-06,2.4764898092708177e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3828170016526718e-13,4.0836178484058406e-10,0.999999994805098,0.9994024389686368,1.0,0.0720556318118443
0.18,0.4841,0.0003331478594001,0.0219959713057528,4.30718031659459e-05,5.255100187831187e-06,0.0063005191632438,0.0,7.66935921839855e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0628264633460189
0.2,0.5119,0.0003913612690145,0.0227303032073351,4.6982760410390726e-05,4.22651025092349e-06,0.0064963854115644,0.0,6.372107703235712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.995205449387908,1.0,0.0552309442377837
0.22,0.5381,0.0004524360824903,0.0233170431028935,5.11825906873027e-05,3.1343000970916744e-06,0.0066591201875772,0.0,4.674747039858711e-06,9.889931811607176e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8743996214481628e-11,0.0,1.724575808779898e-11,0.0,0.0,1.0556005664708176e-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0489641566581513
