w,time_exponent,o1_0,z1_0,z2_0,o1_1,z1_1,z2_1,t_1,g,b,lmd
0.04,0.1879,1.348409738195028e-05,0.0045974602659453,1.7303108736382234e-06,5.077172252633105e-07,0.0011762618964061,6.908146864379377e-10,7.843609761058037e-07,0.999999999963245,0.9999999991203788,5.509896642461939e-25
0.06,0.2492,2.876034306816073e-05,0.0065466018544393,3.4206404663661007e-06,8.079568472673148e-07,0.0016952619985061,1.6368283757028756e-09,1.2502805068913446e-06,0.9999999980902392,0.9999999995228088,1.266375751711244e-17
0.08,0.3018,4.9016222066618654e-05,0.0083225878004703,5.43565899444454e-06,1.024202281515791e-06,0.0021823600193935,1.0662148756731967e-09,1.5916162214737737e-06,1.0,0.9999999999999994,2.4628845585493158e-14
0.1,0.348,8.921996949996593e-05,0.0116966228462028,1.1241708658613134e-05,2.0576643335714583e-06,0.0031107454929622,8.806037972956784e-09,3.131643741202857e-06,1.0,0.9999999999999928,0.0266504922753867
0.12,0.3878,0.000170914610554,0.0176250602263711,2.7731880648272644e-05,5.6144727181227526e-06,0.0047810747069543,5.0168968229233314e-08,8.066092035177817e-06,0.9999999999999806,1.0,0.0785437413871623
0.14,0.4225,0.0002277258227298,0.0200040322278156,3.5240352603021564e-05,7.320780874916618e-06,0.0057828950106244,5.3446386253870874e-08,9.843715639683784e-06,1.0,1.0,0.0833558359059434
0.16,0.4544,0.0002789711223138,0.0210937444977403,3.919456354274231e-05,6.4427672097980655e-06,0.0060643594094932,3.9951589523592176e-08,9.064480289956149e-06,1.0,1.0,0.0720565464608477
0.18,0.4841,0.0003334430051849,0.0219946143079458,4.331690356353408e-05,5.351695145754508e-06,0.0063001344043494,1.914980473305029e-08,7.821535635588289e-06,0.9999999999482984,0.999999999999961,0.0628278054255244
0.2,0.5119,0.0003914970471452,0.0227302793623967,4.689996512595888e-05,4.232210737025138e-06,0.0064963512042577,7.28624066346867e-09,6.426679730841448e-06,1.0,1.0,0.0552323705983086
0.22,0.5381,0.0004524803904455,0.0233194798395756,5.029466070068171e-05,3.0731740702734293e-06,0.0066586253544985,3.542142337423416e-09,4.903614594383198e-06,0.9999999999999996,0.9999999999999992,0.0489649764481356
0.24,0.5629,0.0005183641872034,0.0237696585544635,5.404986842865953e-05,2.204613381219737e-06,0.0067905335923044,1.525072487078215e-14,3.5958176900697065e-06,0.9999999999999416,0.9999999999999916,0.0438053281445128
0.26,0.5864,0.0005870278939851,0.0241004598454444,5.751028524904991e-05,1.424048856528168e-06,0.0068955294411964,5.941814759494837e-10,2.398356296290859e-06,0.9999999978297064,1.0,0.0395905101349845
0.28,0.6088,0.0006592114104187,0.0243198376659446,6.067878840448189e-05,8.16591889118879e-07,0.0069762527946248,3.2070966692416317e-10,1.4230017599459189e-06,1.0,1.0,0.036197648315767
0.3,0.6303,0.0007348151692584,0.0244361167931655,6.372041733992357e-05,4.4439359654133e-07,0.0070344905694738,1.3832315748344831e-18,7.752183909457452e-07,0.9999999999998672,0.9999999999999998,0.0335326979272071
0.32,0.6508,0.0008133610061741,0.0244582127426693,6.655014758042629e-05,1.755493295788893e-07,0.0070729312305159,2.243057434781928e-11,3.23178675800297e-07,0.9999999947431886,0.9999999993609594,0.0315230826514725
0.34,0.6705,0.0008945014925388,0.0243934301970446,6.918425862689523e-05,8.60939215509125e-08,0.0070923753670282,6.977910459468513e-17,1.4690774373984765e-07,0.9999999999999905,1.0,0.0301124907399718
0.36,0.6895,0.0009788218674876,0.0242465690600863,7.131919692162142e-05,2.650924030264048e-08,0.0070958781723434,2.232942978243937e-14,3.620946220030366e-08,0.9999999999999952,1.0,0.0292573818662008
0.38,0.7077,0.0010643245228477,0.0240269437789028,7.340253547948637e-05,1.4150698713728305e-17,0.0070840661651341,3.651781324678086e-12,7.930090011175412e-11,0.9999999999999816,0.9999999999999812,0.0289243654147693
0.4,0.7254,0.0011520310153023,0.0237372840656916,7.499980607926885e-05,1.5234646130167576e-11,0.007058493272649,2.208122719206975e-15,1.3545398328611668e-11,0.9999999999194612,0.9999999998791732,0.0290884094989611
0.42,0.7424,0.001241505396987,0.0233821719366114,7.631829247542688e-05,2.360355863002571e-11,0.0070204993674563,2.3341856119898576e-16,2.089372184165856e-11,1.0,1.0,0.0297315977686251
0.44,0.7589,0.0013322988945814,0.0229667701065317,7.723505317310168e-05,2.224946629682729e-11,0.0069708120376295,7.326986385481539e-16,1.951898913873563e-11,0.9999999998957144,0.9999999998672808,0.0308421551093444
0.46,0.7749,0.0014245692211288,0.0224935742799959,7.784644393697981e-05,5.596848373535943e-12,0.006910400735083,0.0,4.855472830135258e-12,0.9999999999958208,1.0,0.0324138278362144
0.48,0.7901,0.0016545145596037,0.0236358073594287,9.610915176130716e-05,1.7255347764839906e-12,0.0072549514660986,1.4745066028367453e-14,1.545543008890773e-12,0.9688837078259088,0.9965019960791932,0.0342145840417216
0.5,0.8044,0.0019295331201734,0.0248947185335674,0.0001202679015679,8.399235096654564e-12,0.0076398939257593,0.0,7.931225791788536e-12,0.9365496311638286,0.9924134816025104,0.0360841795960007
0.52,0.8177,0.0022387500906896,0.026076755333972,0.000148993541701,2.087353128704806e-11,0.0080211343806418,2.5173568772467198e-14,1.6250937915856158e-11,0.906247725770696,0.9881087480185669,0.0380352733321382
0.54,0.83,0.0025825039287806,0.0271560604525201,0.0001831951015104,2.3000401071938583e-11,0.0083965988655433,1.3150649849210316e-22,2.4184705281470472e-11,0.8779623962681383,0.9835816970755128,0.0400727863118759
0.56,0.8413,0.0029659035848296,0.0281306569034248,0.0002231647548386,8.006743967355439e-13,0.0087712338089574,4.585848883321464e-14,8.004346010157951e-13,0.8512380460708423,0.9788568794538204,0.0422049904225516
0.58,0.8516,0.0033877035634256,0.0289766401142865,0.0002691648183315,6.718301362203149e-20,0.0091422594932751,3.3800398892741445e-21,1.0456528919029726e-19,0.8260878626174838,0.9739659125969892,0.0444386518421799
