w,time_exponent,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g,b,lmd
0.16,0.5505,2.287473875755516e-15,6.8063441574229296e-15,6.306364948302604e-06,1.264358482460576e-05,5.895868963799826e-18,3.1053208593357384e-17,0.0,0.008186670044819119,3.7687447663395107e-06,0.0036959146722367205,6.911627980185117e-05,1.4164605317382745e-08,9.476736933756521e-06,0.007216689177553506,3.734739785388068e-05,5.575373521657082e-06,6.575142623309187e-16,0.004343616963962049,3.116965202730833e-08,5.184255166088171e-12,0.4401400433187893,1.0,0.19307009605415612
0.18,0.5794,3.931284330031882e-12,1.3825105127815933e-11,3.4404116138368626e-07,6.315814198848116e-07,1.1368625223007433e-10,1.3244788658403652e-11,3.242992773773928e-11,0.0069029535475343224,9.407835374960756e-07,0.0038641163093600583,4.79601311855232e-05,2.9638217312185846e-11,3.3771982005664866e-06,0.0086628472860773,1.2559207060009503e-05,1.6008784661049315e-06,1.6253249309602723e-10,0.003958019793888345,4.938327390766707e-11,2.1965842486307308e-10,0.4820979424028166,0.9999987684978325,0.17363870334270065
0.2,0.6049,9.036478621530635e-14,1.0144650483413387e-15,2.5744716986255167e-07,5.011013025064549e-07,3.613961792880603e-15,1.1836561367410499e-12,2.036203527641018e-14,0.005715664528056302,2.8474307463233273e-07,0.003867867587638343,3.548506285447868e-05,1.3142713941865825e-14,1.5880815764281935e-06,0.01025438971015646,7.85121160545645e-06,8.22699853696713e-07,5.2608569437182965e-15,0.0035263350279953858,3.378819319268217e-15,6.228970567255842e-14,0.5225200362063602,0.9999999985686068,0.15611168513787993
0.22,0.6276,2.5045811541344203e-09,1.9320005582530186e-13,1.6901318204332227e-07,2.8747314609674985e-07,1.3511587205381144e-12,1.7298756677001513e-13,4.450431198502287e-13,0.00454283613081132,7.156540772216448e-08,0.0036818632477756,2.5075372265340156e-05,5.010563112917438e-09,7.465525654993674e-07,0.011940836630380236,3.944983801727381e-06,3.5847958941088193e-07,7.023310906069361e-13,0.003036477229857904,8.566106341994737e-11,7.687750123512284e-13,0.5636026073032318,0.9999999996533667,0.14024806780562454
0.24,0.6478,3.951028466783004e-10,0.0,9.175319589794912e-08,1.3423603885883698e-07,1.182657486087386e-10,0.0,0.0,0.0034991436421099448,0.0,0.0033598257314727906,1.4669287230130078e-05,2.069245790801649e-10,2.2623363239961274e-08,0.013708987106487004,2.6308223812982253e-07,3.1161782340675127e-09,0.0,0.002541700310193223,0.0,0.0,0.6043402374173068,0.9999809451092632,0.12584139634883137
0.26,0.6659,1.7121620114721801e-10,5.994252547342982e-11,5.2286347534811094e-08,7.213992275408137e-08,1.87736582035305e-11,1.8411442925950067e-17,2.729446192349949e-10,0.002625757139356088,6.663719359098986e-11,0.002931360360808637,9.821728308880742e-06,6.604717890967917e-10,5.861748412033443e-08,0.015554383695568084,2.595112312999616e-07,8.437192813638087e-09,1.3753079498108345e-10,0.002065910360078954,6.923293717890002e-11,9.539013630032193e-11,0.6440557771689981,0.999999884158065,0.11273641734797446
0.28,0.6822,2.0253121045760478e-11,7.64600825637874e-12,7.078516248918089e-08,1.2729820012922866e-07,4.322150473066975e-12,0.0,1.1004899911696569e-11,0.0019017566483751957,0.0,0.002451796357616812,5.632287531141722e-06,0.0,6.06147580696375e-08,0.01749814933360021,8.849337336058535e-07,6.382399007514586e-08,0.0,0.0016215574396419494,1.278896409335811e-11,0.0,0.6826573591890829,1.0,0.10082323403376975
0.3,0.697,2.2660399891501057e-07,1.5661993828100664e-07,2.052880284779211e-07,5.962266912702807e-07,2.5618390771073364e-10,4.7055553528013243e-07,5.325652824515133e-09,0.0013122301892500732,1.7955967474386622e-07,0.0019275952026822185,2.388699271874695e-06,4.607616692813121e-07,6.296931819068301e-07,0.019516304256500628,4.825834736720801e-06,1.2512946436565655e-07,1.6549916837024114e-08,0.0011974468479258146,1.4565044781720211e-08,3.8469208716801986e-11,0.7204331753807216,0.9999901052149917,0.09002150690720256
0.32,0.7107,1.5759711830392572e-13,4.5094534823271765e-07,4.201051428322567e-11,5.676100827655714e-07,1.1912166919576413e-11,3.9355794113083004e-22,1.284327141557709e-11,0.0008872616851307956,6.215767897945282e-13,0.001505163326963068,9.0177272057767e-07,8.55688449539869e-12,3.9162562747820517e-10,0.021270811876749184,1.993907389195509e-06,1.6018989387539637e-11,5.300988060733028e-12,0.0008280840008103068,3.575483390168801e-11,6.121992124324218e-12,0.7545731047316492,0.9999011014462942,0.0798046877140357
0.34,0.7232,7.863781814293416e-09,3.546281316370121e-08,9.954154895831511e-06,7.037167895739358e-06,2.2759301778265332e-08,4.299480659957016e-20,1.7357868842379057e-08,0.0004843054253067908,3.91422320656286e-07,0.0009006242754510282,2.1099645802007278e-05,3.770428647866096e-08,1.4556970354151571e-06,0.023762455719016546,8.942258860822831e-06,6.704209319124664e-06,1.3114735556266057e-09,0.00045810421399800826,4.9457742979211455e-09,1.8073001771418124e-08,0.7913638533007165,0.9999677270233861,0.07115927973205573
0.36,0.7341,2.9066544653825193e-11,1.8554403398350532e-10,4.510714987431742e-08,2.7879052082669245e-08,3.120130145530272e-10,2.7617484928000155e-12,7.685474129474794e-11,0.000308147548467782,4.557891588271579e-10,0.0006278204714643161,2.905533734065308e-07,1.0326042839966268e-10,9.613492122970811e-08,0.02605008811146997,5.28433152264861e-07,1.5922963361179907e-09,2.0249084661944964e-11,0.0003232883999965897,3.133826553917198e-11,1.294823998059551e-11,0.8204289830620971,0.9999844918161197,0.06351647603006105
0.38,0.7447,5.345525035950441e-16,5.190301444703467e-12,6.620897953235158e-08,1.1146149888424291e-08,4.29046804421612e-12,5.7457067653107265e-12,9.371401736241615e-12,0.00017173389257011304,2.4714113537269476e-11,0.0003889075425370246,1.9392619260631383e-07,1.7467467249492885e-11,1.2648061355658746e-11,0.02836610638676004,4.835394403496874e-07,1.1627490437665417e-11,3.0429949679574652e-12,0.00018541171832720123,1.2751422268658598e-11,7.065969552994671e-12,0.8471241539359532,0.9999957441585912,0.05653154994059475
0.4,0.7546,2.385743521850705e-19,1.2145898928336385e-07,1.1085438036003334e-08,2.4734740667899077e-08,6.844254596481148e-09,3.861976190175457e-09,7.195282139154694e-08,3.961676287099224e-05,8.361224650526285e-09,9.136826904023663e-05,3.1347170316978844e-07,1.1711018335903123e-08,3.5274044583451032e-09,0.03093820189360057,1.7281668223396932e-06,1.926960240289385e-08,4.288300795482961e-09,4.1486292111189216e-05,8.505401288380309e-10,7.755609698201605e-09,0.8753958078492144,0.9999656216936031,0.050427564592806035
0.42,0.7641,3.4257604927577854e-19,1.354220010635259e-08,1.9565939068705418e-07,1.4753226674614575e-07,1.100025679106549e-09,1.395922762514268e-08,2.199178215675468e-10,2.607152291565377e-06,2.371566604515481e-08,3.4178181408440542e-06,4.412232915552409e-07,2.3394405767645323e-09,1.6526658969547526e-07,0.033356680515194206,9.101830796048715e-07,5.769592877490101e-09,2.333343981491264e-09,1.6901030590789582e-06,2.2052798110880293e-08,2.0537936838457345e-10,0.8971199379863498,0.9999556184500296,0.045139623403585655
0.44,0.773,1.348627220827341e-10,1.051787904431088e-07,1.539704306660508e-07,9.008072624935237e-08,2.4814038970657486e-10,1.1026039956416816e-17,1.7840065837615687e-10,4.225527194497394e-06,1.8895329833892797e-09,1.9054901169488947e-06,5.172700293823072e-07,1.928828803166665e-09,1.2590486459090967e-10,0.03563417367547032,7.087528196424141e-08,7.86413401267416e-10,2.337453783922244e-10,3.3757366835872924e-07,3.097867610868342e-10,1.0721949060667537e-09,0.9154513103417108,0.9999942438579029,0.04070387880203567
0.46,0.7817,4.496607381505006e-18,4.655308610591136e-08,1.5321077155818216e-07,1.212067301952918e-09,2.5032695036136277e-08,2.8396472906722877e-09,3.827221574416323e-10,6.57014109023068e-06,2.8723502760673832e-08,1.7997558364916953e-05,8.370210369091672e-07,4.965241890970159e-10,4.266799542631441e-08,0.03806246336519874,2.541765672857516e-05,5.571992221885475e-10,2.6681039240649734e-10,3.959923909038466e-06,2.9720222648109065e-08,6.443480835650599e-10,0.9322775175847379,0.9999866080571327,0.037059443538605255
